year,city,country,avg_temp
1775,Denver,United States,10.32
1776,Denver,United States,6.23
1777,Denver,United States,
1778,Denver,United States,
1779,Denver,United States,
1780,Denver,United States,
1781,Denver,United States,
1782,Denver,United States,
1783,Denver,United States,
1784,Denver,United States,
1785,Denver,United States,
1786,Denver,United States,
1787,Denver,United States,
1788,Denver,United States,
1789,Denver,United States,
1790,Denver,United States,
1791,Denver,United States,
1792,Denver,United States,
1793,Denver,United States,
1794,Denver,United States,
1795,Denver,United States,
1796,Denver,United States,
1797,Denver,United States,
1798,Denver,United States,
1799,Denver,United States,
1800,Denver,United States,
1801,Denver,United States,
1802,Denver,United States,
1803,Denver,United States,
1804,Denver,United States,
1805,Denver,United States,
1806,Denver,United States,
1807,Denver,United States,
1808,Denver,United States,
1809,Denver,United States,
1810,Denver,United States,
1811,Denver,United States,
1812,Denver,United States,
1813,Denver,United States,
1814,Denver,United States,
1815,Denver,United States,
1816,Denver,United States,
1817,Denver,United States,
1818,Denver,United States,
1819,Denver,United States,
1820,Denver,United States,7.43
1821,Denver,United States,8.11
1822,Denver,United States,8.36
1823,Denver,United States,8.03
1824,Denver,United States,8.43
1825,Denver,United States,9.1
1826,Denver,United States,8.44
1827,Denver,United States,9.2
1828,Denver,United States,8.6
1829,Denver,United States,8.5
1830,Denver,United States,9.33
1831,Denver,United States,7.61
1832,Denver,United States,8.35
1833,Denver,United States,9.07
1834,Denver,United States,10.31
1835,Denver,United States,7.42
1836,Denver,United States,7.46
1837,Denver,United States,8
1838,Denver,United States,7.34
1839,Denver,United States,8.57
1840,Denver,United States,8.1
1841,Denver,United States,8.11
1842,Denver,United States,8.48
1843,Denver,United States,7.76
1844,Denver,United States,8.11
1845,Denver,United States,8.71
1846,Denver,United States,9.44
1847,Denver,United States,7.67
1848,Denver,United States,7.87
1849,Denver,United States,8.23
1850,Denver,United States,8.24
1851,Denver,United States,8.83
1852,Denver,United States,7.84
1853,Denver,United States,8.52
1854,Denver,United States,9.22
1855,Denver,United States,8.81
1856,Denver,United States,8.11
1857,Denver,United States,8.57
1858,Denver,United States,8.45
1859,Denver,United States,7.81
1860,Denver,United States,8.95
1861,Denver,United States,9.21
1862,Denver,United States,8.59
1863,Denver,United States,8.92
1864,Denver,United States,8.53
1865,Denver,United States,8.49
1866,Denver,United States,8.46
1867,Denver,United States,9.26
1868,Denver,United States,8.49
1869,Denver,United States,7.75
1870,Denver,United States,8.84
1871,Denver,United States,9.35
1872,Denver,United States,7.73
1873,Denver,United States,8.1
1874,Denver,United States,8.72
1875,Denver,United States,7.68
1876,Denver,United States,8.37
1877,Denver,United States,8.23
1878,Denver,United States,8.68
1879,Denver,United States,9.29
1880,Denver,United States,7.8
1881,Denver,United States,8.92
1882,Denver,United States,8.62
1883,Denver,United States,7.94
1884,Denver,United States,7.9
1885,Denver,United States,8.24
1886,Denver,United States,8.47
1887,Denver,United States,8.75
1888,Denver,United States,8.85
1889,Denver,United States,8.73
1890,Denver,United States,9.1
1891,Denver,United States,7.75
1892,Denver,United States,8
1893,Denver,United States,8.78
1894,Denver,United States,8.8
1895,Denver,United States,7.6
1896,Denver,United States,9.24
1897,Denver,United States,8.45
1898,Denver,United States,7.97
1899,Denver,United States,8.01
1900,Denver,United States,9.32
1901,Denver,United States,9.05
1902,Denver,United States,8.82
1903,Denver,United States,7.93
1904,Denver,United States,8.86
1905,Denver,United States,8.13
1906,Denver,United States,8.49
1907,Denver,United States,9.01
1908,Denver,United States,8.6
1909,Denver,United States,8.04
1910,Denver,United States,9.78
1911,Denver,United States,8.85
1912,Denver,United States,7.21
1913,Denver,United States,7.85
1914,Denver,United States,8.94
1915,Denver,United States,8.16
1916,Denver,United States,8.34
1917,Denver,United States,8.06
1918,Denver,United States,8.46
1919,Denver,United States,8.29
1920,Denver,United States,8.19
1921,Denver,United States,9.77
1922,Denver,United States,8.75
1923,Denver,United States,7.99
1924,Denver,United States,7.76
1925,Denver,United States,9.13
1926,Denver,United States,8.88
1927,Denver,United States,8.79
1928,Denver,United States,8.32
1929,Denver,United States,7.75
1930,Denver,United States,8.37
1931,Denver,United States,9.35
1932,Denver,United States,8.54
1933,Denver,United States,9.87
1934,Denver,United States,10.92
1935,Denver,United States,9.36
1936,Denver,United States,9.39
1937,Denver,United States,8.74
